artist,auth,firstName,gender,itemInSession,lastName,length,level,location,method,page,registration,sessionId,song,status,ts,userAgent,userId
Sydney Youngblood,Logged In,Jacob,M,53,Klein,238.07955,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1.54056E+12,954,Ain't No Sunshine,200,1.54345E+12,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",73
Gang Starr,Logged In,Layla,F,88,Griffin,151.92771,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,My Advice 2 You (Explicit),200,1.54345E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",24
3OH!3,Logged In,Layla,F,89,Griffin,192.522,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,My First Kiss (Feat. Ke$ha) [Album Version],200,1.54345E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",24
RÃÂ¶yksopp,Logged In,Jacob,M,54,Klein,369.81506,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1.54056E+12,954,The Girl and The Robot,200,1.54345E+12,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",73
Kajagoogoo,Logged In,Layla,F,90,Griffin,223.55546,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Too Shy,200,1.54345E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",24
The Jimmy Castor Bunch,Logged In,Layla,F,91,Griffin,306.54649,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Potential,200,1.54345E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",24
Ministry,Logged In,Jacob,M,55,Klein,186.69669,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1.54056E+12,954,The Great Satan (What Would Satan Do Mix),200,1.54345E+12,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",73
Bouncing Souls,Logged In,Jacob,M,56,Klein,117.31546,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1.54056E+12,954,The Screamer,200,1.54345E+12,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",73
Tegan And Sara,Logged In,Layla,F,92,Griffin,129.67138,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Knife Going In (Album Version),200,1.54345E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",24
Silverchair,Logged In,Layla,F,93,Griffin,242.96444,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,The Greatest View (Album Version),200,1.54345E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",24
Enigma,Logged In,Layla,F,94,Griffin,242.78159,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,T.N.T. For The Brain (112 Bpm) (Radio Edit),200,1.54345E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",24
Anis,Logged In,Layla,F,95,Griffin,278.12526,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Mon MÃÂ©tro,200,1.54345E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",24
Seal,Logged In,Layla,F,96,Griffin,254.06649,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Fly Like An Eagle,200,1.54345E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",24
UNKLE Feat. Josh Homme,Logged In,Layla,F,97,Griffin,307.19955,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Restless,200,1.54345E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",24
Dwight Yoakam,Logged In,Layla,F,98,Griffin,239.3073,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,You're The One,200,1.54345E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",24
Elastica,Logged In,Layla,F,99,Griffin,141.92281,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Blue,200,1.54345E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",24
Capone-N-Noreaga,Logged In,Layla,F,100,Griffin,194.82077,paid,"Lake Havasu City-Kingman, AZ",PUT,NextSong,1.54106E+12,984,Channel 10,200,1.54345E+12,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",24
